"V1" "V2" "V3"
"1" 0.223029066378786 0.553941867242428 0.223029066378786
"2" 0.000277948562995196 0.99944410287401 0.00027794856299516
"3" 0.36358074392118 0.27283851215764 0.36358074392118
"4" 0.495455365111098 0.00908926977780485 0.495455365111098
"5" 0.0781382961249816 0.843723407750037 0.0781382961249816
"6" 0.000153595276297989 0.999692809447404 0.000153595276297993
"7" 0.442700603469708 0.114598793060584 0.442700603469708
"8" 0.143450668586349 0.713098662827303 0.143450668586349
"9" 0.000243723517539077 0.999512552964922 0.000243723517539115
"10" 0.457651535796861 0.0846969284062779 0.457651535796861
"11" 0.497290630230741 0.0054187395385183 0.497290630230741
"12" 0.498854441410103 0.00229111717979369 0.498854441410103
"13" 0.472858761948268 0.0542824761034648 0.472858761948268
"14" 0.497655166859951 0.00468966628009822 0.497655166859951
"15" 0.492628488592195 0.0147430228156099 0.492628488592195
"16" 0.0215711741728869 0.956857651654226 0.0215711741728869
"17" 0.010763829551166 0.978472340897668 0.010763829551166
"18" 0.492792194807906 0.0144156103841883 0.492792194807906
"19" 0.303310566622989 0.393378866754023 0.303310566622989
"20" 0.282108450045722 0.435783099908557 0.282108450045722
"21" 0.00580585556912633 0.988388288861747 0.00580585556912632
"22" 0.338008957022288 0.323982085955424 0.338008957022288
"23" 0.485807780273172 0.0283844394536567 0.485807780273172
"24" 0.470152333605067 0.0596953327898654 0.470152333605067
"25" 0.00445681813610317 0.991086363727794 0.00445681813610314
"26" 0.485610186468591 0.0287796270628177 0.485610186468591
"27" 0.0641097548000487 0.871780490399903 0.0641097548000487
"28" 0.062210933846979 0.875578132306042 0.062210933846979
"29" 0.497201956754928 0.00559608649014348 0.497201956754928
"30" 0.00529541697653613 0.989409166046928 0.00529541697653613
"31" 0.164738194507041 0.670523610985919 0.164738194507041
"32" 0.496412212926063 0.00717557414787385 0.496412212926063
"33" 0.377781379771999 0.244437240456001 0.377781379771999
"34" 0.493630680614492 0.0127386387710168 0.493630680614492
"35" 0.48835509164225 0.0232898167154996 0.48835509164225
"36" 0.239614477776181 0.520771044447639 0.239614477776181
"37" 0.0414238946077916 0.917152210784417 0.0414238946077916
"38" 0.00677379169761655 0.986452416604767 0.00677379169761655
"39" 0.0694576879064122 0.861084624187176 0.0694576879064122
"40" 0.470301757517535 0.05939648496493 0.470301757517535
"41" 0.107372360688092 0.785255278623817 0.107372360688092
"42" 0.00035643147225115 0.999287137055498 0.000356431472251196
"43" 1.40104147683601e-05 0.999971979170463 1.40104147683189e-05
"44" 0.491164249389399 0.017671501221203 0.491164249389399
"45" 0.307872770261461 0.384254459477079 0.307872770261461
"46" 0.136940955404057 0.726118089191886 0.136940955404057
"47" 0.214391881926903 0.571216236146194 0.214391881926903
"48" 0.029390412884358 0.941219174231284 0.029390412884358
"49" 0.334628409173928 0.330743181652143 0.334628409173928
"50" 0.000379972277140139 0.99924005544572 0.000379972277140162
"51" 0.148172023842678 0.703655952314643 0.148172023842678
"52" 0.499989155278435 2.16894431307402e-05 0.499989155278435
"53" 0.0222520151313144 0.955495969737371 0.0222520151313144
"54" 0.0564483925335943 0.887103214932812 0.0564483925335942
"55" 0.000821063400482111 0.998357873199036 0.000821063400482094
"56" 0.00221347782193355 0.995573044356133 0.00221347782193353
"57" 0.174906619811451 0.650186760377098 0.174906619811451
"58" 0.492523179177551 0.0149536416448988 0.492523179177551
"59" 0.459734857953373 0.0805302840932549 0.459734857953372
"60" 0.00244778338089856 0.995104433238203 0.00244778338089858
"61" 0.49991060571574 0.000178788568519915 0.49991060571574
"62" 0.0127861670979539 0.974427665804092 0.0127861670979539
"63" 0.480104005979575 0.0397919880408492 0.480104005979575
"64" 0.486036521137603 0.027926957724794 0.486036521137603
"65" 0.485700212809432 0.0285995743811355 0.485700212809432
"66" 3.22269727181047e-05 0.999935546054564 3.22269727180889e-05
"67" 0.35921950182372 0.281560996352561 0.35921950182372
"68" 0.487038206289322 0.0259235874213551 0.487038206289322
"69" 0.232203777277166 0.535592445445668 0.232203777277166
"70" 0.470352995030171 0.0592940099396589 0.470352995030171
"71" 0.497393233454739 0.00521353309052134 0.497393233454739
"72" 0.408258953958257 0.183482092083486 0.408258953958257
"73" 0.324436350544569 0.351127298910862 0.324436350544569
"74" 0.0292406788214225 0.941518642357155 0.0292406788214224
"75" 0.496391593477257 0.00721681304548612 0.496391593477257
"76" 0.380353390834532 0.239293218330936 0.380353390834532
"77" 0.481860586349853 0.0362788273002934 0.481860586349853
"78" 0.324162101574072 0.351675796851855 0.324162101574072
"79" 0.497766946874348 0.00446610625130449 0.497766946874348
"80" 0.499868472224468 0.000263055551064052 0.499868472224468
"81" 0.207336922685208 0.585326154629583 0.207336922685208
"82" 0.0101159844627581 0.979768031074484 0.0101159844627581
"83" 0.482405319024379 0.0351893619512408 0.48240531902438
"84" 0.352466793364202 0.295066413271595 0.352466793364202
"85" 0.48078778703962 0.0384244259207594 0.48078778703962
"86" 0.498541988266388 0.00291602346722418 0.498541988266388
"87" 0.306924630211715 0.386150739576571 0.306924630211715
"88" 0.447659752834242 0.104680494331516 0.447659752834242
"89" 0.234951604893882 0.530096790212237 0.234951604893882
"90" 0.243749657887741 0.512500684224518 0.243749657887741
"91" 0.00758319249862775 0.984833615002744 0.00758319249862778
"92" 0.339878248934296 0.320243502131409 0.339878248934296
"93" 0.497906030330438 0.00418793933912391 0.497906030330438
"94" 0.000165190625472749 0.999669618749054 0.000165190625472784
"95" 0.246240951568457 0.507518096863087 0.246240951568457
"96" 0.0962768606141376 0.807446278771725 0.0962768606141375
